time,fidelity,trace
0.0,0.900875828522919,1.0000000000000004
0.3,0.900863594770607,1.0
0.6,0.9008513612315591,0.9999999999999996
0.8999999999999999,0.9008391279057701,0.9999999999999992
1.2,0.9008268947932372,0.9999999999999989
1.5,0.9008146618939546,0.9999999999999984
1.7999999999999998,0.9008024292079178,0.999999999999998
2.1,0.9007901967351227,0.9999999999999978
2.4,0.9007779644755657,0.9999999999999973
2.6999999999999997,0.900765732429241,0.999999999999997
3.0,0.9007535005961447,0.9999999999999967
3.3,0.9007412689762724,0.9999999999999963
3.5999999999999996,0.9007290375696195,0.999999999999996
3.9,0.900716806376182,0.9999999999999956
4.2,0.900704575395955,0.9999999999999954
4.5,0.9006923446289341,0.9999999999999949
4.8,0.9006801140751148,0.9999999999999943
5.1,0.9006678837344929,0.9999999999999939
5.3999999999999995,0.9006556536070638,0.9999999999999938
5.7,0.9006434236928231,0.9999999999999933
6.0,0.900631193991766,0.999999999999993
6.3,0.9006189645038889,0.9999999999999925
6.6,0.9006067352291863,0.9999999999999922
6.8999999999999995,0.9005945061676548,0.9999999999999918
7.199999999999999,0.9005822773192893,0.9999999999999915
7.5,0.9005700486840853,0.999999999999991
7.8,0.9005578202620386,0.9999999999999907
8.1,0.9005455920531446,0.9999999999999901
8.4,0.9005333640573989,0.9999999999999896
8.7,0.9005211362747974,0.9999999999999891
9.0,0.9005089087053352,0.9999999999999886
9.299999999999999,0.9004966813490081,0.999999999999988
9.6,0.9004844542058112,0.9999999999999878
9.9,0.9004722272757405,0.9999999999999873
10.2,0.9004600005587918,0.9999999999999867
10.5,0.9004477740549601,0.9999999999999865
10.799999999999999,0.9004355477642412,0.9999999999999859
11.1,0.9004233216866305,0.9999999999999856
11.4,0.900411095822124,0.9999999999999849
11.7,0.9003988701707166,0.9999999999999846
12.0,0.9003866447324043,0.9999999999999842
12.299999999999999,0.9003744195071823,0.9999999999999837
12.6,0.9003621944950466,0.9999999999999833
12.9,0.9003499696959928,0.9999999999999829
13.2,0.9003377451100157,0.9999999999999826
13.5,0.9003255207371116,0.9999999999999823
13.799999999999999,0.9003132965772759,0.999999999999982
14.1,0.9003010726305041,0.9999999999999815
14.399999999999999,0.9002888488967915,0.9999999999999811
14.7,0.9002766253761338,0.9999999999999808
15.0,0.9002644020685269,0.9999999999999805
15.299999999999999,0.9002521789739661,0.9999999999999802
15.6,0.9002399560924466,0.9999999999999797
15.899999999999999,0.9002277334239648,0.9999999999999793
16.2,0.9002155109685154,0.999999999999979
16.5,0.9002032887260942,0.9999999999999785
16.8,0.9001910666966968,0.9999999999999781
17.099999999999998,0.900178844880319,0.9999999999999776
17.4,0.9001666232769565,0.9999999999999774
17.7,0.9001544018866041,0.9999999999999771
18.0,0.9001421807092581,0.9999999999999768
18.3,0.9001299597449133,0.9999999999999762
18.599999999999998,0.9001177389935662,0.999999999999976
18.9,0.9001055184552116,0.9999999999999757
19.2,0.9000932981298453,0.9999999999999752
19.5,0.9000810780174627,0.9999999999999749
19.8,0.9000688581180598,0.9999999999999745
20.099999999999998,0.9000566384316319,0.9999999999999742
20.4,0.9000444189581743,0.999999999999974
20.7,0.900032199697683,0.9999999999999736
21.0,0.9000199806501532,0.9999999999999731
21.3,0.9000077618155808,0.9999999999999728
21.599999999999998,0.8999955431939611,0.9999999999999722
21.9,0.8999833247852894,0.9999999999999721
22.2,0.8999711065895621,0.9999999999999718
22.5,0.8999588886067739,0.999999999999971
22.8,0.8999466708369208,0.9999999999999707
23.099999999999998,0.8999344532799982,0.9999999999999705
23.4,0.899922235936002,0.99999999999997
23.7,0.8999100188049272,0.9999999999999696
24.0,0.8998978018867697,0.9999999999999696
24.3,0.899885585181525,0.9999999999999691
24.599999999999998,0.8998733686891884,0.9999999999999691
24.9,0.8998611524097562,0.9999999999999686
25.2,0.8998489363432229,0.9999999999999684
25.5,0.8998367204895852,0.9999999999999681
25.8,0.8998245048488376,0.9999999999999676
26.099999999999998,0.8998122894209761,0.9999999999999671
26.4,0.8998000742059967,0.9999999999999669
26.7,0.8997878592038944,0.9999999999999666
27.0,0.8997756444146648,0.9999999999999662
27.3,0.8997634298383038,0.9999999999999661
27.599999999999998,0.8997512154748062,0.9999999999999657
27.9,0.8997390013241688,0.9999999999999653
28.2,0.8997267873863865,0.9999999999999649
28.5,0.8997145736614544,0.9999999999999646
28.799999999999997,0.8997023601493686,0.9999999999999641
29.099999999999998,0.8996901468501242,0.9999999999999637
29.4,0.8996779337637177,0.9999999999999636
29.7,0.8996657208901438,0.9999999999999633
30.0,0.899653508229398,0.9999999999999629
