time,fidelity,trace,purity,analytic
0.0,0.9008758285229196,1.0000000000000004,1.0000000000000067,0.9008758285229196
0.3,0.9265670076597998,1.0000000000000004,0.9962268396784567,0.9265670076597998
0.6,0.9455995012751988,1.0000000000000002,0.9951340197949434,0.9455995012751987
0.8999999999999999,0.9596991193304949,1.0000000000000002,0.9952587391531482,0.9596991193304946
1.2,0.9701443732905108,1.0000000000000002,0.9958638883694253,0.9701443732905107
1.5,0.9778824077437389,1.0000000000000002,0.9965935997594852,0.9778824077437386
1.7999999999999998,0.9836148846589529,1.0,0.9972886220440007,0.9836148846589527
2.1,0.9878616080073809,1.0000000000000002,0.9978882650216714,0.9878616080073807
2.4,0.9910076580420908,1.0000000000000002,0.9983790075353428,0.9910076580420905
2.6999999999999997,0.9933383092309801,1.0,0.9987680870915749,0.9933383092309799
3.0,0.9950648980977631,1.0,0.9990703346871523,0.9950648980977628
3.3,0.996343986589902,1.0,0.9993019342677321,0.9963439865899016
3.5999999999999996,0.9972915586507428,1.0,0.9994777272996127,0.9972915586507424
3.9,0.9979935372988227,1.0,0.9996102738794282,0.9979935372988222
4.2,0.9985135758718494,1.0,0.9997097377930381,0.9985135758718492
4.5,0.9988988299222052,1.0000000000000002,0.9997841200078402,0.998898829922205
4.8,0.9991842331423005,1.0,0.9998396065233643,0.9991842331423
5.1,0.9993956650479876,1.0,0.9998809220386421,0.9993956650479875
5.3999999999999995,0.9995522976561548,1.0,0.9999116446269722,0.9995522976561544
5.7,0.9996683339462377,1.0,0.9999344677591774,0.9996683339462372
6.0,0.9997542957441914,0.9999999999999999,0.9999514102795819,0.999754295744191
6.3,0.9998179778103979,1.0,0.9999639806666887,0.9998179778103976
6.6,0.9998651546453744,1.0,0.999973303498426,0.9998651546453742
6.8999999999999995,0.9999001041043194,1.0000000000000002,0.9999802157625965,0.9999001041043188
7.199999999999999,0.9999259953003086,1.0000000000000002,0.9999853396442988,0.9999259953003081
7.5,0.9999451759700526,1.0,0.9999891372382523,0.9999451759700522
7.8,0.999959385359684,1.0,0.9999919515139601,0.9999593853596834
8.1,0.9999699119344275,1.0,0.9999940369014445,0.9999699119344271
8.4,0.9999777102127987,1.0,0.9999955820802959,0.9999777102127985
8.7,0.999983487319507,1.0,0.9999967269337873,0.999983487319506
9.0,0.9999877671054179,0.9999999999999999,0.9999975751481962,0.9999877671054178
9.299999999999999,0.9999909376488023,1.0,0.9999982035681534,0.9999909376488018
9.6,0.9999932864451109,1.0,0.9999986691390046,0.9999932864451102
9.9,0.9999950264762123,0.9999999999999998,0.9999990140566184,0.9999950264762121
10.2,0.9999963155229571,0.9999999999999999,0.9999992695856676,0.9999963155229569
10.5,0.9999972704722733,1.0,0.9999994588905488,0.9999972704722728
10.799999999999999,0.9999979779161259,0.9999999999999998,0.9999995991334019,0.9999979779161258
11.1,0.9999985020034228,1.0,0.9999997030291491,0.9999985020034222
11.4,0.9999988902568409,1.0,0.999999779997717,0.9999988902568407
11.7,0.9999991778820476,1.0,0.9999998370178285,0.9999991778820473
12.0,0.9999993909600415,1.0,0.9999998792595741,0.9999993909600411
12.299999999999999,0.9999995488121021,1.0,0.9999999105531485,0.9999995488121013
12.6,0.999999665751784,1.0,0.9999999337360728,0.9999996657517837
12.9,0.9999997523828319,1.0,0.9999999509104377,0.9999997523828311
13.2,0.9999998165606896,0.9999999999999998,0.9999999636335247,0.9999998165606896
13.5,0.9999998641048163,0.9999999999999999,0.9999999730590323,0.9999998641048164
13.799999999999999,0.9999998993263723,1.0,0.9999999800416332,0.9999998993263719
14.1,0.9999999254191421,1.0,0.9999999852144847,0.999999925419142
14.399999999999999,0.9999999447491418,1.0,0.999999989046622,0.9999999447491414
14.7,0.9999999590691575,1.0,0.9999999918855288,0.9999999590691573
15.0,0.9999999696776865,1.0,0.9999999939886549,0.9999999696776859
15.299999999999999,0.9999999775366779,1.0,0.9999999955466776,0.9999999775366772
15.6,0.9999999833587616,1.0,0.9999999967008997,0.9999999833587612
15.899999999999999,0.9999999876718675,1.0,0.999999997555973,0.999999987671867
16.2,0.9999999908670949,0.9999999999999999,0.9999999981894141,0.9999999908670945
16.5,0.9999999932341777,1.0,0.9999999986586848,0.9999999932341772
16.8,0.9999999949877554,1.0,0.9999999990063358,0.9999999949877552
17.099999999999998,0.999999996286838,1.0,0.9999999992638688,0.9999999962868377
17.4,0.9999999972492224,1.0,0.9999999994546578,0.9999999972492217
17.7,0.9999999979621739,1.0,0.9999999995960126,0.9999999979621733
18.0,0.9999999984903408,1.0,0.9999999997007127,0.9999999984903408
18.3,0.9999999988816176,1.0,0.9999999997782872,0.9999999988816171
18.599999999999998,0.9999999991714819,1.0,0.9999999998357416,0.9999999991714815
18.9,0.9999999993862185,0.9999999999999999,0.9999999998783133,0.9999999993862184
19.2,0.9999999995453,1.0,0.9999999999098566,0.9999999995452994
19.5,0.99999999966315,1.0,0.9999999999332347,0.9999999996631496
19.8,0.9999999997504556,1.0,0.9999999999505281,0.9999999997504551
20.099999999999998,0.9999999998151331,1.0,0.9999999999633515,0.9999999998151325
20.4,0.9999999998630471,0.9999999999999999,0.9999999999728504,0.9999999998630468
20.7,0.9999999998985429,1.0,0.9999999999798799,0.9999999998985426
21.0,0.999999999924839,0.9999999999999998,0.9999999999851035,0.9999999999248385
21.3,0.999999999944319,1.0,0.9999999999889649,0.999999999944319
21.599999999999998,0.9999999999587508,1.0,0.9999999999918281,0.9999999999587504
21.9,0.9999999999694418,1.0,0.9999999999939411,0.9999999999694417
22.2,0.9999999999773619,1.0,0.9999999999955069,0.9999999999773618
22.5,0.9999999999832296,1.0,0.9999999999966741,0.9999999999832292
22.8,0.9999999999875762,1.0,0.9999999999975357,0.9999999999875759
23.099999999999998,0.9999999999907963,1.0,0.9999999999981812,0.999999999990796
23.4,0.9999999999931819,1.0,0.9999999999986445,0.9999999999931815
23.7,0.999999999994949,1.0,0.9999999999990054,0.9999999999949487
24.0,0.9999999999962581,1.0000000000000002,0.9999999999992653,0.9999999999962579
24.3,0.9999999999972286,1.0,0.9999999999994471,0.9999999999972278
24.599999999999998,0.9999999999979465,1.0,0.9999999999995917,0.9999999999979463
24.9,0.9999999999984792,1.0000000000000002,0.999999999999702,0.9999999999984786
25.2,0.9999999999988731,1.0,0.9999999999997735,0.9999999999988729
25.5,0.9999999999991658,1.0,0.9999999999998367,0.999999999999165
25.8,0.9999999999993818,1.0,0.9999999999998688,0.9999999999993815
26.099999999999998,0.9999999999995424,1.0,0.9999999999999034,0.9999999999995418
26.4,0.9999999999996606,1.0,0.9999999999999474,0.9999999999996605
26.7,0.9999999999997491,1.0,0.9999999999999505,0.9999999999997485
27.0,0.9999999999998141,0.9999999999999999,0.9999999999999651,0.9999999999998137
27.3,0.9999999999998626,0.9999999999999999,0.9999999999999838,0.999999999999862
27.599999999999998,0.9999999999998982,0.9999999999999999,0.9999999999999876,0.9999999999998977
27.9,0.9999999999999245,0.9999999999999998,1.0000000000000009,0.9999999999999243
28.2,0.9999999999999442,1.0,0.9999999999999891,0.9999999999999439
28.5,0.999999999999959,1.0,0.9999999999999845,0.9999999999999585
28.799999999999997,0.9999999999999697,1.0,0.9999999999999982,0.9999999999999692
29.099999999999998,0.9999999999999771,0.9999999999999998,0.9999999999999913,0.9999999999999772
29.4,0.9999999999999833,0.9999999999999998,1.0000000000000029,0.9999999999999831
29.7,0.9999999999999878,1.0,1.0000000000000058,0.9999999999999875
30.0,0.9999999999999909,1.0,0.9999999999999966,0.9999999999999907
